Start,Duration,Class of Type,Event Type,Kind of Object,Event Object,Comment,Tag,Status
2021-08-10 15:30,30,Unclassified,Consume,Unclassified,Movies ,"Grey’s anatomy 
Greendot Lunch ",,Done
2021-08-10 16:00,60,Unclassified,Circadian,Unclassified,,Nap,,Done
2021-08-10 17:00,30,Unclassified,Consume,Unclassified,Movies ,Grey’s anatomy ,,Done
2021-08-10 17:30,30,Unclassified,Consume,Unclassified,Podcast,"BBC world news
Transit Home to Botanic Gardens",,Done
2021-08-10 18:00,30,Unclassified,Care,Unclassified,Walking,"Botanic Gardens
Vox Conversations: cool",,Done
2021-08-10 18:30,30,Unclassified,Care,Unclassified,Walking,Botanic Gardens with Chetna,,Done
2021-08-10 19:00,30,Unclassified,Connect,Unclassified,Friends,Chetna chat outside Botanic,,Done
2021-08-10 19:30,30,Unclassified,Consume,Unclassified,Podcast,"sway: Michael pollen
Transit Botanic Gardens to home",,Done
2021-08-10 20:00,30,Unclassified,Consume,Unclassified,Podcast,"Spectacular, Vernacular
Transit Botanic Gardens to Home",,Done
2021-08-10 20:30,30,Unclassified,Consume,Unclassified,Movies ,Grey’s Anatomy,,Done
2021-08-10 21:00,30,Unclassified,Create,Unclassified,Knitting,Grey’s Anatomy,,Done
2021-08-10 21:30,30,Unclassified,Consume,Unclassified,Books,Property,,Done
2021-08-10 22:00,30,Unclassified,Consume,Unclassified,Books,We are not born submissive ,,Done
2021-08-10 22:30,30,Unclassified,Consume,Unclassified,Mobile,"Twitter, Instagram",,Done
2021-08-10 23:00,570,Unclassified,Circadian,Unclassified,,,,Done
2021-08-11 08:30,60,Unclassified,Care,Unclassified,Walking,BBC World News,,Done
2021-08-11 09:30,30,Unclassified,Consume,Unclassified,Podcast,"The Waves
Making breakfast ",,Done
2021-08-11 10:00,30,Unclassified,Career,Unclassified,Troubleshoot,Delete Inbox: Thailand,,Done
2021-08-11 10:30,30,Unclassified,Career,Unclassified,Project,UCD questions from Design ,,Done
2021-08-11 11:00,30,Unclassified,Consume,Unclassified,Books,"Doughnut Economics
Cheese",,Done
2021-08-11 11:30,30,Unclassified,Create,Unclassified,Cooking,Fried Rice,,Done
2021-08-11 12:00,30,Unclassified,Career,Unclassified,Troubleshoot,Dot com PMM issues with Bern/Ze,,Done
2021-08-11 12:30,30,Unclassified,Consume,Unclassified,Mobile,,,Done
2021-08-11 13:00,30,Unclassified,Care,Unclassified,Swimming,,,Done
2021-08-11 13:30,30,Unclassified,Care,Unclassified,Hygiene,,,Done
2021-08-11 14:00,30,Unclassified,Consume,Unclassified,Books,"Doughnut Economics
Cheese",,Done
2021-08-11 14:30,30,Unclassified,Create,Unclassified,Knitting,Grey’s Anatomy ,,Done
2021-08-11 15:00,30,Unclassified,Consume,Unclassified,Podcast,"CBC podcast, calm meditation 
Transit to TOUCH ",,Done
2021-08-11 15:30,60,Unclassified,Care,Unclassified,Walking,"Meal Delivery
CBC pods: jealousy in polyamory",,Done
2021-08-11 16:30,30,Unclassified,Consume,Unclassified,Podcast,"Vox Conversations
Transit to Novena Square",,Done
2021-08-11 17:00,30,Unclassified,Career,Unclassified,Governance,,,Done
2021-08-11 17:30,30,Unclassified,Create,Unclassified,Cooking,,,Done
2021-08-11 18:00,30,Unclassified,Consume,Unclassified,Movies ,"Grey’s anatomy 
Greendot 
Waiting for the cauliflower to finish ",,Done
2021-08-11 18:30,30,Unclassified,Create,Unclassified,Cooking,"Cauliflower Soup
Grey’s anatomy ",,Done
2021-08-11 19:00,30,Unclassified,Care,Unclassified,Hygiene,,,Done
2021-08-11 19:30,30,Unclassified,Create,Unclassified,Knitting,Grey’s Anatomy,,Done
2021-08-11 20:00,60,Unclassified,Connect,Unclassified,Therapy,Open Relating - Roy,,Done
2021-08-11 21:00,30,Unclassified,Consume,Unclassified,Mobile,"New Book Download
Grey’s Anatomy",,Done
2021-08-11 21:30,30,Unclassified,Create,Unclassified,Knitting,Grey’s Anatomy,,Done
2021-08-11 22:00,30,Unclassified,Consume,Unclassified,Mobile,,,Done
2021-08-11 22:30,30,Unclassified,Consume,Unclassified,Books,Property,,Done
2021-08-11 23:00,570,Unclassified,Circadian,Unclassified,,,,Done
2021-08-12 08:30,30,Unclassified,Career,Unclassified,Governance,"Emails, Slacks",,Done
2021-08-12 09:00,30,Unclassified,Care,Unclassified,Running,"Stretch + 3.5KM 
Hidden Brain ",,Done
2021-08-12 09:30,30,Unclassified,Care,Unclassified,Running,"3.5KM 
Hidden Brain ",,Done
2021-08-12 10:00,30,Unclassified,Care,Unclassified,Hygiene,,,Done
2021-08-12 10:30,30,Unclassified,Career,Unclassified,Reports,User Counts,,Done
2021-08-12 11:00,30,Unclassified,Career,Unclassified,Reports,"User Counts, Trident WOW",,Done
2021-08-12 11:30,30,Unclassified,Career,Unclassified,Reports,Channel Overview,,Done
2021-08-12 12:00,30,Unclassified,Consume,Unclassified,Movies ,Grey’s Anatomy ,,Done
2021-08-12 12:30,60,Unclassified,Consume,Unclassified,Movies ,"Grey’s Anatomy
Dapur44",,Done
2021-08-12 13:30,60,Unclassified,Career,Unclassified,Governance,Mandatory Training,,Done
2021-08-12 14:30,30,Unclassified,Create,Unclassified,Knitting,Grey’s Anatomy,,Done
2021-08-12 15:00,30,Unclassified,Career,Unclassified,Meeting,Support Group,,Done
2021-08-12 15:30,30,Unclassified,Consume,Unclassified,Books,We are not born submissive ,,Done
2021-08-12 16:00,60,Unclassified,Career,Unclassified,Meeting,Comms TF Bi-Weekly Review,,Done
2021-08-12 17:00,30,Unclassified,Consume,Unclassified,Mobile,"IG, TW, TT",,Done
2021-08-12 17:30,30,Unclassified,Consume,Unclassified,Books,We are not born submissive ,,Done
2021-08-12 18:00,30,Unclassified,Consume,Unclassified,Movies ,"Grey’s anatomy 
Greendot 
Waiting for the cauliflower to finish ",,Done
2021-08-12 18:30,30,Unclassified,Consume,Unclassified,Podcast,"BBC World News, Hidden Brain",,Done
2021-08-12 19:00,30,Unclassified,Consume,Unclassified,Podcast,"Calm, Pod Save the World",,Done
2021-08-12 19:30,30,Unclassified,Care,Unclassified,Massage,,,Done
2021-08-12 20:00,30,Unclassified,Consume,Unclassified,Podcast,"Pod Save the World
Transit to Bugis",,Done
2021-08-12 20:30,30,Unclassified,Consume,Unclassified,Podcast,"Pod save the world
Transit Home",,Done
